id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
307,Southport Ave & Clybourn Ave,12,15,41.920771,-87.663712,In Service,1,IN_SERVICE,3,Southport Ave & Clybourn Ave,,Chicago,60614,,,False,2019-02-01 18:01:00,K3_FULL,13186,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
33,State St & Van Buren St,26,27,41.877181,-87.627844,In Service,1,IN_SERVICE,1,State St & Van Buren St,,Chicago,60604,360 S State St,,False,2019-02-01 17:59:36,K3_FULL,13003,True
49,Dearborn St & Monroe St,6,39,41.881319815,-87.6295209193,In Service,1,IN_SERVICE,33,Dearborn St & Monroe St,,Chicago,60603,80 S Dearborn St,,False,2019-02-01 17:58:42,K3_FULL,13049,True
133,Kingsbury St & Kinzie St,14,31,41.88917683258,-87.6385057718,In Service,1,IN_SERVICE,16,Kingsbury St & Kinzie St,,Chicago,60654,,,False,2019-02-01 18:00:49,K3_FULL,15532,True
245,Clarendon Ave & Junior Ter,14,23,41.961004,-87.649603,In Service,1,IN_SERVICE,9,Clarendon Ave & Junior Ter,,Chicago,60613,,,False,2019-02-01 17:59:51,K3_FULL,13389,True
309,Leavitt St & Armitage Ave,4,11,41.917805,-87.682437,In Service,1,IN_SERVICE,7,Leavitt St & Armitage Ave,,Chicago,60647,,,False,2019-02-01 17:59:13,K3_FULL,13286,True
405,Wentworth Ave & 35th St,9,15,41.830777,-87.632504,In Service,1,IN_SERVICE,6,Wentworth Ave & 35th St,,Chicago,60616,,,False,2019-02-01 17:58:58,K3_FULL,15447,True
637,Wood St & Chicago Ave (*),7,16,41.895634,-87.672069,In Service,1,IN_SERVICE,9,Wood St & Chicago Ave (*),,Chicago,60622,,,False,2019-02-01 18:02:40,K3_FULL,18006,True
658,Leavitt St & Division St (*),2,16,41.902997,-87.683825,In Service,1,IN_SERVICE,14,Leavitt St & Division St (*),,Chicago,60622,,,False,2019-02-01 18:02:28,K3_FULL,18057,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
40,LaSalle St & Adams St,9,15,41.87934437346,-87.6319852213,In Service,1,IN_SERVICE,6,LaSalle St & Adams St,,Chicago,60603,,,False,2019-02-01 18:01:06,K3_FULL,15537,True
51,Clark St & Randolph St,33,39,41.884576228,-87.63188991,In Service,1,IN_SERVICE,5,Clark St & Randolph St,,Chicago,60601,120 W. Randolph St.,,False,2019-02-01 18:01:44,K3_FULL,13005,True
77,Clinton St & Madison St,4,31,41.882242,-87.641066,In Service,1,IN_SERVICE,26,Clinton St & Madison St,,Chicago,60661,5 N Clinton St,,False,2019-02-01 18:03:10,K3_FULL,13301,True
241,Morgan St & Polk St,17,19,41.871737,-87.65103,In Service,1,IN_SERVICE,2,Morgan St & Polk St,,Chicago ,60607,,,False,2019-02-01 17:59:48,K3_FULL,13168,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
47,State St & Kinzie St,28,31,41.889187,-87.627754,In Service,1,IN_SERVICE,3,State St & Kinzie St,,Chicago,60654,5 E Kinzie St,,False,2019-02-01 18:01:18,K3_FULL,13050,True
49,Dearborn St & Monroe St,5,39,41.881319815,-87.6295209193,In Service,1,IN_SERVICE,34,Dearborn St & Monroe St,,Chicago,60603,80 S Dearborn St,,False,2019-02-01 18:03:07,K3_FULL,13049,True
91,Clinton St & Washington Blvd,10,31,41.88338,-87.64117,In Service,1,IN_SERVICE,21,Clinton St & Washington Blvd,,Chicago,60661,109 N Clinton St,,False,2019-02-01 18:01:38,K3_FULL,13010,True
106,State St & Pearson St,19,27,41.897448,-87.628722,In Service,1,IN_SERVICE,8,State St & Pearson St,,Chicago,60610,,,False,2019-02-01 17:59:59,K3_FULL,13014,True
